Datetime,Adj Close,Volume,Adj Close(t-1),Volume(t-1),Adj Close(t-2),Volume(t-2),Adj Close(t-3),Volume(t-3),Adj Close(t-4),Volume(t-4),Adj Close(t-5),Volume(t-5),Adj Close(t-6),Volume(t-6),Adj Close(t-7),Volume(t-7)
2024-04-25 10:21:00-04:00,168.79,116985,168.88,122652.0,168.85,137477.0,168.73,120735.0,168.56,155670.0,168.84,143319.0,168.64,176972.0,168.68,232912.0
2024-04-25 10:22:00-04:00,168.81,105382,168.79,116985.0,168.88,122652.0,168.85,137477.0,168.73,120735.0,168.56,155670.0,168.84,143319.0,168.64,176972.0
2024-04-25 10:23:00-04:00,168.83,114460,168.81,105382.0,168.79,116985.0,168.88,122652.0,168.85,137477.0,168.73,120735.0,168.56,155670.0,168.84,143319.0
2024-04-25 10:24:00-04:00,168.8,63707,168.83,114460.0,168.81,105382.0,168.79,116985.0,168.88,122652.0,168.85,137477.0,168.73,120735.0,168.56,155670.0
2024-04-25 10:25:00-04:00,168.63,95388,168.8,63707.0,168.83,114460.0,168.81,105382.0,168.79,116985.0,168.88,122652.0,168.85,137477.0,168.73,120735.0
2024-04-25 10:26:00-04:00,168.49,140631,168.63,95388.0,168.8,63707.0,168.83,114460.0,168.81,105382.0,168.79,116985.0,168.88,122652.0,168.85,137477.0
2024-04-25 10:27:00-04:00,168.66,119068,168.49,140631.0,168.63,95388.0,168.8,63707.0,168.83,114460.0,168.81,105382.0,168.79,116985.0,168.88,122652.0
2024-04-25 10:28:00-04:00,168.74,123000,168.66,119068.0,168.49,140631.0,168.63,95388.0,168.8,63707.0,168.83,114460.0,168.81,105382.0,168.79,116985.0
2024-04-25 10:29:00-04:00,168.92,94541,168.74,123000.0,168.66,119068.0,168.49,140631.0,168.63,95388.0,168.8,63707.0,168.83,114460.0,168.81,105382.0
2024-04-25 10:30:00-04:00,168.88,115636,168.92,94541.0,168.74,123000.0,168.66,119068.0,168.49,140631.0,168.63,95388.0,168.8,63707.0,168.83,114460.0
2024-04-25 10:31:00-04:00,168.82,143568,168.88,115636.0,168.92,94541.0,168.74,123000.0,168.66,119068.0,168.49,140631.0,168.63,95388.0,168.8,63707.0
2024-04-25 10:32:00-04:00,168.92,114314,168.82,143568.0,168.88,115636.0,168.92,94541.0,168.74,123000.0,168.66,119068.0,168.49,140631.0,168.63,95388.0
2024-04-25 10:33:00-04:00,168.9,115425,168.92,114314.0,168.82,143568.0,168.88,115636.0,168.92,94541.0,168.74,123000.0,168.66,119068.0,168.49,140631.0
2024-04-25 10:34:00-04:00,168.88,97221,168.9,115425.0,168.92,114314.0,168.82,143568.0,168.88,115636.0,168.92,94541.0,168.74,123000.0,168.66,119068.0
2024-04-25 10:35:00-04:00,168.99,87735,168.88,97221.0,168.9,115425.0,168.92,114314.0,168.82,143568.0,168.88,115636.0,168.92,94541.0,168.74,123000.0
2024-04-25 10:36:00-04:00,168.98,99707,168.99,87735.0,168.88,97221.0,168.9,115425.0,168.92,114314.0,168.82,143568.0,168.88,115636.0,168.92,94541.0
2024-04-25 10:37:00-04:00,168.89,69078,168.98,99707.0,168.99,87735.0,168.88,97221.0,168.9,115425.0,168.92,114314.0,168.82,143568.0,168.88,115636.0
2024-04-25 10:38:00-04:00,168.85,115959,168.89,69078.0,168.98,99707.0,168.99,87735.0,168.88,97221.0,168.9,115425.0,168.92,114314.0,168.82,143568.0
2024-04-25 10:39:00-04:00,168.65,103163,168.85,115959.0,168.89,69078.0,168.98,99707.0,168.99,87735.0,168.88,97221.0,168.9,115425.0,168.92,114314.0
2024-04-25 10:40:00-04:00,168.87,87815,168.65,103163.0,168.85,115959.0,168.89,69078.0,168.98,99707.0,168.99,87735.0,168.88,97221.0,168.9,115425.0
2024-04-25 10:41:00-04:00,168.85,65238,168.87,87815.0,168.65,103163.0,168.85,115959.0,168.89,69078.0,168.98,99707.0,168.99,87735.0,168.88,97221.0
2024-04-25 10:42:00-04:00,168.86,67713,168.85,65238.0,168.87,87815.0,168.65,103163.0,168.85,115959.0,168.89,69078.0,168.98,99707.0,168.99,87735.0
2024-04-25 10:43:00-04:00,168.92,86295,168.86,67713.0,168.85,65238.0,168.87,87815.0,168.65,103163.0,168.85,115959.0,168.89,69078.0,168.98,99707.0
